time_sec,number_of_times_played,score,difficulty_level,difficulty_level_encoded,needs_intervention,recommendation
118,3,48,Medium,2,Yes,Reflect on mistakes calmly and maintain a growth mindset.
229,3,49,Medium,2,Yes,Reflect on mistakes calmly and maintain a growth mindset.
279,1,81,Hard,1,Yes,Practice deep breathing and pacing yourself.
247,3,62,Medium,2,Yes,Practice deep breathing and pacing yourself.
267,5,69,Medium,2,Yes,Practice deep breathing and pacing yourself. Focus on patience and persistence.
74,3,68,Hard,1,No,"Stay mindful, balanced, and focused on your routine."
249,1,30,Medium,2,Yes,Practice deep breathing and pacing yourself. Reflect on mistakes calmly and maintain a growth mindset.
249,5,40,Hard,1,Yes,Practice deep breathing and pacing yourself. Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
234,2,86,Medium,2,No,Celebrate achievements and set personal growth goals.
249,3,79,Hard,1,Yes,Practice deep breathing and pacing yourself.
110,1,52,Hard,1,Yes,Reflect on mistakes calmly and maintain a growth mindset.
167,2,60,Medium,2,No,"Stay mindful, balanced, and focused on your routine."
114,2,71,Medium,2,No,"Stay mindful, balanced, and focused on your routine."
123,4,36,Medium,2,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
190,5,45,Easy,0,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
288,3,89,Easy,0,Yes,Practice deep breathing and pacing yourself.
110,1,31,Easy,0,Yes,Reflect on mistakes calmly and maintain a growth mindset.
194,4,30,Hard,1,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
80,5,77,Medium,2,Yes,Focus on patience and persistence.
132,4,41,Hard,1,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
226,5,98,Easy,0,Yes,Focus on patience and persistence.
77,5,66,Medium,2,Yes,Focus on patience and persistence.
191,3,61,Hard,1,No,"Stay mindful, balanced, and focused on your routine."
148,5,38,Medium,2,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
119,4,48,Hard,1,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
73,5,77,Medium,2,Yes,Focus on patience and persistence.
68,3,32,Easy,0,Yes,Reflect on mistakes calmly and maintain a growth mindset.
149,3,49,Easy,0,Yes,Reflect on mistakes calmly and maintain a growth mindset.
112,4,53,Medium,2,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
189,2,83,Hard,1,No,Celebrate achievements and set personal growth goals.
143,2,62,Easy,0,No,"Stay mindful, balanced, and focused on your routine."
151,5,53,Easy,0,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
170,1,65,Easy,0,No,"Stay mindful, balanced, and focused on your routine."
247,5,67,Medium,2,Yes,Practice deep breathing and pacing yourself. Focus on patience and persistence.
258,4,54,Medium,2,Yes,Practice deep breathing and pacing yourself. Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
231,4,47,Hard,1,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
67,4,95,Hard,1,Yes,Focus on patience and persistence.
234,4,83,Hard,1,Yes,Focus on patience and persistence.
94,4,64,Medium,2,Yes,Focus on patience and persistence.
265,3,90,Medium,2,Yes,Practice deep breathing and pacing yourself.
140,2,70,Hard,1,No,"Stay mindful, balanced, and focused on your routine."
223,4,62,Hard,1,Yes,Focus on patience and persistence.
109,1,97,Medium,2,No,Celebrate achievements and set personal growth goals.
163,1,62,Hard,1,No,"Stay mindful, balanced, and focused on your routine."
191,1,43,Easy,0,Yes,Reflect on mistakes calmly and maintain a growth mindset.
61,1,50,Medium,2,Yes,Reflect on mistakes calmly and maintain a growth mindset.
193,3,77,Hard,1,No,"Stay mindful, balanced, and focused on your routine."
113,1,49,Medium,2,Yes,Reflect on mistakes calmly and maintain a growth mindset.
165,4,37,Easy,0,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
63,5,36,Medium,2,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
113,1,96,Medium,2,No,Celebrate achievements and set personal growth goals.
280,3,46,Medium,2,Yes,Practice deep breathing and pacing yourself. Reflect on mistakes calmly and maintain a growth mindset.
250,3,62,Medium,2,Yes,Practice deep breathing and pacing yourself.
205,1,77,Easy,0,No,"Stay mindful, balanced, and focused on your routine."
277,5,88,Medium,2,Yes,Practice deep breathing and pacing yourself. Focus on patience and persistence.
103,1,51,Medium,2,Yes,Reflect on mistakes calmly and maintain a growth mindset.
221,3,59,Hard,1,Yes,Reflect on mistakes calmly and maintain a growth mindset.
261,2,67,Medium,2,Yes,Practice deep breathing and pacing yourself.
249,4,80,Hard,1,Yes,Practice deep breathing and pacing yourself. Focus on patience and persistence.
287,3,83,Easy,0,Yes,Practice deep breathing and pacing yourself.
73,1,37,Easy,0,Yes,Reflect on mistakes calmly and maintain a growth mindset.
