_score,timePerScenario,attemptsPerScenario,correctAnswers,completionStatus,Label
40,16.1,3,4,90,Medium
30,16.1,2,3,90,Medium
40,11.3,1,4,100,High
40,7.6,2,4,100,High
50,14.8,1,5,100,High
40,19.6,2,4,80,Medium
40,11.6,1,4,100,High
10,25.1,3,1,60,Low
30,20.8,2,3,80,Medium
50,12.8,2,5,100,High
40,11.8,1,4,100,High
40,12.4,2,4,100,High
0,21.0,5,0,40,Low
0,21.5,5,0,60,Low
30,18.0,2,3,100,Medium
40,12.8,1,4,100,High
20,22.2,4,2,40,Low
0,27.8,3,0,40,Low
20,29.4,3,2,40,Low
40,10.7,2,4,100,High
40,22.1,3,4,100,Medium
40,15.8,2,4,80,Medium
40,12.4,3,4,80,Medium
40,13.0,1,4,100,High
40,22.6,2,4,80,Medium
50,14.7,1,5,100,High
40,11.4,2,4,100,High
50,13.7,1,5,100,High
30,14.8,2,3,90,Medium
30,21.6,3,3,100,Medium
10,34.1,4,1,40,Low
40,14.4,3,4,90,Medium
30,22.8,2,3,100,Medium
40,10.7,1,4,100,High
40,8.8,1,4,100,High
40,11.8,1,4,100,High
50,13.3,1,5,100,High
50,9.5,1,5,100,High
50,12.4,2,5,100,High
0,21.9,5,0,80,Low
30,22.3,3,3,80,Medium
30,19.0,2,3,90,Medium
40,15.8,1,4,100,High
50,11.1,1,5,100,High
0,28.1,5,0,40,Low
50,12.7,1,5,100,High
40,19.5,2,4,90,Medium
40,18.3,3,4,80,Medium
30,22.7,3,3,90,Medium
40,13.3,1,4,100,High
40,14.7,1,4,100,High
50,14.1,1,5,100,High
30,12.7,2,3,90,Medium
40,20.6,3,4,100,Medium
30,17.7,2,3,80,Medium
0,16.5,3,0,60,Low
50,11.9,1,5,100,High
20,24.4,3,2,80,Low
20,24.6,5,2,60,Low
50,11.0,2,5,100,High
40,9.9,1,4,100,High
40,10.9,1,4,100,High
10,21.0,3,1,40,Low
40,14.3,3,4,80,Medium
40,14.5,2,4,90,Medium
0,25.9,5,0,80,Low
40,15.7,3,4,90,Medium
50,15.3,1,5,100,High
20,23.8,5,2,80,Low
50,11.3,2,5,100,High
0,29.5,5,0,40,Low
20,19.7,4,2,60,Low
0,21.7,3,0,40,Low
40,11.4,2,4,100,High
40,16.3,1,4,100,High
40,15.4,3,4,90,Medium
20,18.1,3,2,60,Low
40,11.6,1,4,100,High
10,13.6,4,1,80,Low
0,25.2,3,0,80,Low
50,10.3,2,5,100,High
50,12.0,1,5,100,High
40,12.9,1,4,100,High
40,21.7,2,4,90,Medium
50,11.8,2,5,100,High
0,34.2,4,0,60,Low
30,18.8,2,3,80,Medium
30,15.8,2,3,100,Medium
40,11.6,2,4,90,Medium
20,30.5,5,2,80,Low
30,20.3,2,3,90,Medium
0,26.9,3,0,60,Low
20,22.0,3,2,60,Low
0,26.7,4,0,60,Low
40,11.2,1,4,100,High
10,14.0,3,1,60,Low
40,19.1,3,4,100,Medium
50,8.3,2,5,100,High
30,16.9,2,3,80,Medium
40,10.5,2,4,100,High
40,18.2,3,4,100,Medium
50,10.2,2,5,100,High
50,13.0,1,5,100,High
50,13.9,1,5,100,High
10,28.6,4,1,60,Low
40,21.1,2,4,100,Medium
50,11.0,2,5,100,High
40,6.9,1,4,100,High
40,11.2,2,4,100,High
50,13.4,2,5,100,High
50,15.1,1,5,100,High
20,28.3,4,2,40,Low
10,24.7,3,1,40,Low
20,25.5,3,2,40,Low
50,13.5,1,5,100,High
40,16.1,3,4,90,Medium
40,11.0,2,4,100,High
30,12.9,2,3,80,Medium
40,22.6,2,4,80,Medium
40,13.7,2,4,100,High
40,7.4,1,4,100,High
30,13.5,3,3,100,Medium
0,23.7,5,0,60,Low
0,30.4,4,0,60,Low
0,15.8,3,0,80,Low
40,11.5,2,4,100,High
40,9.8,2,4,100,High
30,13.9,3,3,100,Medium
40,12.3,2,4,80,Medium
10,26.5,3,1,60,Low
50,14.3,1,5,100,High
30,21.7,2,3,80,Medium
30,11.8,2,3,100,Medium
40,18.2,2,4,100,Medium
50,13.9,1,5,100,High
50,13.4,1,5,100,High
30,14.6,2,3,80,Medium
0,33.6,5,0,60,Low
50,12.9,2,5,100,High
50,9.8,2,5,100,High
40,19.8,2,4,90,Medium
20,26.7,4,2,60,Low
40,13.7,2,4,100,High
40,17.0,3,4,80,Medium
40,17.7,3,4,80,Medium
40,16.9,3,4,100,Medium
50,12.5,1,5,100,High
30,18.9,2,3,80,Medium
40,12.9,3,4,100,Medium
40,14.1,2,4,80,Medium
10,25.5,3,1,60,Low
40,17.6,3,4,90,Medium
40,10.6,1,4,100,High
20,33.1,3,2,40,Low
0,32.9,3,0,60,Low
40,16.1,3,4,90,Medium
40,12.1,1,4,100,High
50,13.6,2,5,100,High
30,17.6,3,3,90,Medium
40,18.3,2,4,90,Medium
20,25.9,5,2,80,Low
40,8.6,1,4,100,High
30,21.0,2,3,80,Medium
30,16.1,2,3,100,Medium
40,15.6,2,4,100,High
40,17.1,2,4,100,Medium
40,10.7,1,4,100,High
40,12.4,2,4,100,High
40,9.3,1,4,100,High
50,12.1,1,5,100,High
30,18.0,2,3,90,Medium
10,29.1,4,1,80,Low
40,12.3,2,4,100,High
50,14.7,2,5,100,High
40,11.3,2,4,100,High
40,22.0,3,4,100,Medium
30,21.9,3,3,100,Medium
50,7.8,2,5,100,High
30,14.1,3,3,80,Medium
40,13.7,1,4,100,High
50,12.6,2,5,100,High
40,20.1,2,4,100,Medium
50,12.1,1,5,100,High
40,12.0,2,4,100,High
40,16.3,2,4,100,Medium
30,12.4,3,3,90,Medium
0,23.5,3,0,40,Low
40,11.5,2,4,100,High
40,10.2,1,4,100,High
10,29.2,4,1,40,Low
50,12.4,2,5,100,High
30,21.5,2,3,90,Medium
10,33.1,3,1,60,Low
10,21.8,3,1,60,Low
40,14.4,1,4,100,High
50,8.6,2,5,100,High
50,12.4,1,5,100,High
20,21.5,5,2,40,Low
40,15.9,2,4,90,Medium
40,16.2,2,4,100,Medium
50,11.2,1,5,100,High
50,12.3,1,5,100,High
30,18.7,3,3,100,Medium
50,13.1,1,5,100,High
40,12.1,1,4,100,High
0,37.6,4,0,80,Low
40,16.4,3,4,100,Medium
40,12.5,1,4,100,High
0,26.5,3,0,80,Low
0,30.0,4,0,80,Low
40,15.1,1,4,100,High
30,17.5,2,3,80,Medium
40,12.3,1,4,100,High
50,10.4,1,5,100,High
40,20.6,2,4,80,Medium
40,20.3,3,4,80,Medium
50,9.3,2,5,100,High
50,14.4,2,5,100,High
40,11.5,1,4,100,High
50,13.0,1,5,100,High
30,16.2,3,3,90,Medium
10,26.8,5,1,40,Low
10,22.4,5,1,80,Low
40,10.9,1,4,100,High
40,23.6,2,4,100,Medium
30,21.9,2,3,90,Medium
50,12.2,1,5,100,High
20,28.3,3,2,80,Low
40,11.8,1,4,100,High
30,20.7,2,3,90,Medium
0,24.0,3,0,60,Low
50,9.6,1,5,100,High
40,12.3,2,4,100,High
40,19.9,3,4,80,Medium
50,14.7,2,5,100,High
20,19.8,3,2,60,Low
50,11.9,1,5,100,High
0,27.2,3,0,40,Low
40,15.0,2,4,80,Medium
0,24.1,4,0,80,Low
50,10.6,2,5,100,High
40,13.9,1,4,100,High
0,29.2,4,0,80,Low
40,16.2,3,4,90,Medium
40,14.6,2,4,80,Medium
50,10.0,2,5,100,High
10,23.6,4,1,80,Low
20,26.8,3,2,80,Low
40,12.3,1,4,100,High
40,15.6,1,4,100,High
50,12.7,1,5,100,High
40,14.6,1,4,100,High
30,18.6,2,3,90,Medium
40,14.9,2,4,80,Medium
40,10.9,1,4,100,High
20,25.2,4,2,80,Low
40,12.2,1,4,100,High
0,23.3,3,0,80,Low
40,19.1,3,4,80,Medium
40,18.1,3,4,80,Medium
30,22.7,3,3,90,Medium
50,15.0,1,5,100,High
40,15.3,2,4,100,High
30,19.6,3,3,80,Medium
40,9.5,1,4,100,High
50,15.3,1,5,100,High
40,14.6,1,4,100,High
40,10.2,1,4,100,High
40,17.6,2,4,80,Medium
40,11.3,1,4,100,High
30,14.6,2,3,80,Medium
40,13.1,2,4,100,Medium
10,32.7,5,1,60,Low
10,34.8,3,1,40,Low
40,16.2,2,4,80,Medium
40,20.5,2,4,80,Medium
50,14.4,2,5,100,High
50,11.0,1,5,100,High
20,25.2,3,2,60,Low
20,21.9,5,2,40,Low
20,22.3,4,2,60,Low
40,18.4,2,4,100,Medium
30,19.4,2,3,90,Medium
40,21.3,3,4,100,Medium
0,19.8,3,0,80,Low
50,13.6,2,5,100,High
50,9.6,1,5,100,High
30,18.6,2,3,100,Medium
50,12.3,1,5,100,High
40,9.8,1,4,100,High
40,22.9,3,4,90,Medium
50,13.6,1,5,100,High
40,11.2,1,4,100,High
30,18.9,3,3,90,Medium
40,10.4,1,4,100,High
40,11.4,2,4,100,High
40,22.1,3,4,100,Medium
20,31.7,5,2,40,Low
30,22.8,2,3,80,Medium
0,23.5,5,0,80,Low
10,24.8,4,1,60,Low
30,19.9,3,3,90,Medium
40,12.1,1,4,100,High
0,32.2,5,0,80,Low
50,8.4,1,5,100,High
40,14.6,2,4,100,High
20,25.4,3,2,80,Low
20,18.9,3,2,60,Low
10,22.6,3,1,40,Low
30,18.2,3,3,90,Medium
50,13.5,1,5,100,High
40,18.3,2,4,100,Medium
40,14.6,1,4,100,High
20,25.8,4,2,60,Low
40,10.1,1,4,100,High
40,17.1,1,4,100,High
10,27.1,4,1,40,Low
50,12.6,2,5,100,High
50,15.0,2,5,100,High
40,10.7,1,4,100,High
40,18.8,2,4,100,Medium
10,37.3,4,1,40,Low
50,8.2,2,5,100,High
40,20.2,2,4,90,Medium
20,18.2,5,2,40,Low
50,15.4,1,5,100,High
10,22.2,5,1,60,Low
40,16.9,3,4,80,Medium
40,11.6,1,4,100,High
30,21.5,2,3,80,Medium
50,8.9,1,5,100,High
0,28.2,5,0,60,Low
10,17.2,5,1,60,Low
40,9.0,2,4,100,High
50,9.3,1,5,100,High
40,18.3,2,4,80,Medium
10,26.9,4,1,60,Low
40,17.9,3,4,80,Medium
20,26.9,4,2,40,Low
50,14.4,1,5,100,High
10,25.7,4,1,80,Low
40,13.0,1,4,100,High
0,27.9,5,0,60,Low
30,12.5,3,3,90,Medium
40,19.5,3,4,100,Medium
10,26.3,3,1,60,Low
30,18.0,3,3,90,Medium
40,12.7,1,4,100,High
50,16.0,2,5,100,High
30,16.7,3,3,90,Medium
40,10.9,1,4,100,High
10,29.6,3,1,60,Low
50,8.8,1,5,100,High
30,14.8,2,3,90,Medium
10,23.5,3,1,80,Low
50,11.2,1,5,100,High
50,12.6,1,5,100,High
30,14.4,3,3,90,Medium
40,13.2,2,4,100,High
20,22.2,4,2,80,Low
40,10.8,2,4,100,High
40,10.6,2,4,100,High
50,13.7,1,5,100,High
30,15.8,3,3,80,Medium
50,10.5,1,5,100,High
30,16.7,3,3,80,Medium
30,22.0,3,3,90,Medium
40,12.8,2,4,100,High
30,17.7,2,3,90,Medium
40,10.9,2,4,100,High
40,12.8,1,4,100,High
40,12.0,2,4,100,High
30,19.7,2,3,80,Medium
40,11.2,1,4,100,High
30,19.7,2,3,80,Medium
30,18.9,2,3,80,Medium
50,10.5,1,5,100,High
40,24.5,3,4,100,Medium
30,16.2,2,3,80,Medium
0,27.3,3,0,80,Low
40,10.6,1,4,100,High
40,10.4,1,4,100,High
50,14.6,2,5,100,High
40,11.1,1,4,100,High
40,16.7,3,4,90,Medium
0,30.0,3,0,40,Low
40,15.7,2,4,80,Medium
